User_id,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,RFM_Score,Customer_Segment
AEUPILALWUFFD34CNWRYX4PFQKSA,994,1,100.0,835.5,668.5,1077.5,2581.5,VIP
AEUVWXYP5LT7PZLLZENEO2NODPBQ,290,1,13490.0,73.0,668.5,100.0,841.5,Low
AEUWKSX5ZL7DWOOYVDOWJKBHOVXA,281,1,399.0,62.0,668.5,831.5,1562.0,Medium
AEV2GXFIZ3KD7EEKOE5URJQD6IFQ,1157,1,1599.0,964.0,668.5,459.5,2092.0,High
AEVBWSNHEFMTADA24TBEUGDGLZMQ,1159,1,79.0,967.5,668.5,1093.0,2729.0,VIP
AEVI32AU5HIKNCR3VPGFHSFDOL2Q,1132,1,499.0,940.0,668.5,783.5,2392.0,VIP
AEVJIJSEUXPBRKOQ2PB4JNBUTFRA,369,2,1469.0,161.5,162.0,490.0,813.5,Low
AEVQ23BWUEEHRN4SPRKHA57N6SOQ,365,1,1999.0,157.5,668.5,390.0,1216.0,Low
AEVV7FGCQH4N4HDNGHICKQHTMMRA,721,1,1499.0,562.0,668.5,477.0,1707.5,Medium
AEVVZCUP5D2P4FWGD3AOPDGJJY4A,1092,1,199.0,908.5,668.5,1007.0,2584.0,VIP
AEVYQ5XCKNYAC4L27BDFVMWT6TCQ,253,1,3711.0,20.0,668.5,242.0,930.5,Low
AEW6K4E5A4RUWRFFUDINQE5WWBSQ,1041,1,29990.0,868.0,668.5,32.5,1569.0,Medium
AEW6KBDGJEWIOQKAW3FP74GMV6TA,491,2,598.0,293.5,162.0,747.0,1202.5,Low
AEWA5TH6PMRZXMFY5MHCIU2MNFHA,1108,2,1274.0,920.0,162.0,542.0,1624.0,Medium
AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,498,3,12847.0,296.5,57.0,110.0,463.5,Low
AEWMPOUFVOFZ3WMJGHLOYQ7VGUJQ,861,1,269.0,707.5,668.5,940.5,2316.5,VIP
AEWNTX64SO54FM25O5FQFFWXIM4Q,1191,1,1899.0,995.0,668.5,405.0,2068.5,High
AEWP2ARX3R62X4MJMBO4JOPOMU7A,557,1,2976.0,357.0,668.5,294.0,1319.5,Medium
AEWPCJ6MCXV32JXQHYGODOOEIJNA,621,1,379.0,438.0,668.5,854.5,1961.0,High
AEWU6OTDLIVY6F2UAY2UYYQSGOPQ,1139,1,449.0,945.0,668.5,809.5,2423.0,VIP
AEWYTXQFQRBUHADGAXC4CPPNDBYQ,1161,1,949.0,970.5,668.5,621.5,2260.5,VIP
AEWZZXQWEU2QSVBCT7AJQ3FXMZWA,458,1,61999.0,250.5,668.5,3.0,922.0,Low
AEX422U2J6S45PAKDJIFJB7WNVLQ,857,1,1999.0,703.0,668.5,390.0,1761.5,High
AEXAFY7V2ZRZI2GD2J6KDOWBZUBQ,684,1,8499.0,516.0,668.5,150.0,1334.5,Medium
AEXCDW6DBTQ42FQZZ5O4MUVOCWZQ,1296,1,390.0,1080.5,668.5,847.0,2596.0,VIP
AEXCQM3FDLX3YL3UJWWUIAIUJT4A,615,1,299.0,429.0,668.5,913.5,2011.0,High
AEXFWMXY2NPLRI3QKEROSZZJWUAA,737,1,499.0,579.0,668.5,783.5,2031.0,High
